video_id,segment_count
3fMALiXAduU,152
3fPb0SumjU0,89
3g36wbb5Voo,183
3g6RjD2ZgmU,104
3gXLdl-aj_w,299
3hKZm_6JE-o,582
3hehrPYewpQ,201
3iB4ZDlzFSk,308
3iSTrPtO9FQ,50
3kFjDYcF2k0,171
3l303hy6xVY,203
3mqI4fj9TVU,52
3nK51MIQQ4Y,114
3nyN9s2Uke0,227
3o03RuVzi2g,203
3oFyW9HQpls,266
3oJYbhCBR3E,63
3pel5yD3dxY,211
3pnsmOTSE7U,71
3pwNjP-6DSw,93
3q5NHISy1G0,48
3qTzbszNpew,187
3qhNShZHnZk,142
3rJuejRbGII,110
3rbHEz8hXnw,231
3tQ6YhtF0Xk,355
3twZCsfURm4,171
3uCYhevAJhM,108
3udZ2d5Yg7s,133
3vFwqpwTRts,7
3vMeKzuPJTw,256
3vj45OebXlY,313
3w7Qp2hb5j4,10
3wDoODktVfU,129
3wFj0eqE-Ps,319
3yzZDJok7vc,117
4-ZEux2hOzs,58
4-g6Pylvv1M,59
40BCMaQDRPk,235
40s7ZAl7iPs,251
40vtIRnq26E,499
41kXAcCeVX8,223
42uFjyPXqxw,135
42wRJHgjOgo,254
44fQJDiKm0k,290
44stP5-XRFU,30
45zBzL3ZL6o,107
46O0IYwYzU0,9
46QwSsCySE0,182
46RxeXuZAjo,192
47UUR-hRv88,87
47qQYIbgMFs,182
48R5J1Z8YLo,11
49351Hh-k4Y,422
49AK3O9s8ok,206
4AwbVnrRxqY,201
4BXtigoFU-k,298
4BoiKXEy8Po,185
4CKbwIC9zO0,120
4CV3ynw1Q3Y,148
4Cc28IQXUBE,213
4CdDPzaOfA0,105
4CgFzRyFhwo,183
4CisEPDaBho,130
4ERcc8WXnjo,193
4F0_y1aA88E,362
4F6GGZxcICE,213
4FIh2st58Y4,124
4GYmPnrMBv4,174
4HOA8tGHgqU,67
4HcuowIBp34,26
4IVWyZTOiyE,151
4ItqOl4i9q8,285
4Iw6xPI3N_I,104
4JGixMDhbNA,261
4Jh2G4Q-Zwc,37
4JtxBpW5Vbo,192
4MzI1aAUCa0,241
4N-gcpJ6fFc,110
4NBhuHM9P9A,33
4OD4htggKpI,74
4P1E9iKf__Q,270
4P2eurBn22c,167
4PVLZWcyGNU,112
4QrpN7CtOJg,256
4RNOe31n9U4,37
4RZhrqrz34I,167
4Rf35xN370M,78
4Rp56f6HCXI,259
4S6wUAHpLfU,10
4SQ0k8-wiog,167
4SoG5Zi4-0o,12
4Tw0V9UG804,79
4U0ufkH8n7Q,104
4UB3tgGcV0U,101
4UjI-MIfo9M,14
4UwwTnnRKSI,147
4VL2_tnbnwc,484
4W2e0cKw6T4,118
4Wdbv2--Dts,99
4XBB2LeG8VE,112
4XQegvi1kp0,33
4XeCTl5xH1k,76
4YcrhOf6kbo,128
4Z2a38D7g-s,247
4Zl0-oPMIDs,260
4_-LtUovy4I,134
4_zIxAtzIw8,91
4a40TloDhsA,271
4aOEmORG1L0,197
4atHYl0_Kbk,126
4bNLs1hxVp8,362
4bitGAOz0kg,260
4cO-863OLt8,78
4ddpjpk9soU,206
4e-pNEUerqk,120
4ePhjGHP6l8,194
4egWVco_Fnc,149
4fim1m8WyXA,368
4h9v0lbZVPM,221
4iEvtVOQkfQ,388
4iKoWB4VOdI,84
4iiAwRS7zVI,315
4ivEWwaGQBI,252
4kmHxJDP2uo,133
4kuK4FUN0Gs,25
4lPcSkJnL4U,10
4lXjJDwzhkU,239
4ldE6k1sci4,344
4m9C10Rlmyo,202
4mMZ6sGwzTc,15
4nNTvRhgX3Q,76
4o9gqFBxTFo,59
4pVyeLPWjgY,205
4rVylaQ8_9c,75
4rqmD8PFXrI,274
4sLfEqTqjyI,66
4t1IrZO6aKE,159
4t1ahxLur6c,223
4tZkGjiewrI,231
4ty8AoMjjJ0,25
4u0cs_LaGw4,70
4v7I97wKImc,7
4x7V8k87xs8,134
4xiKHkmzATA,99
4y5zEWpNeXs,245
4yEphOKq9To,153
4y_XYzjzdVw,115
4z9I4nru19w,335
5-1oX7BPv68,246
5-4SUO4Rlik,250
5-TsGz8kk9M,200
5-cUYQ5u3x8,243
5-dL7uqZlpg,204
5-yS5fDSzJo,95
503kxoS79zc,239
50HADVnzMMg,233
50Xu1YwqrxM,75
51O_Q6j1cP4,48
51iSwav2tLg,371
51lQ_mno1SI,43
51plUKGpHPs,147
52xuwD_xx0s,256
53DnLqKEw2I,200
53O81SlT9D0,239
53zHCgzjOso,361
54HVgd9oitw,39
54QlhPa4m7o,98
54hvX5uWu9A,522
54iy9xHziBY,205
54qHAlBtMUw,37
55HJSTLsOSY,224
55pyJLyycYk,280
56Lw2dd8YCg,275
56pImnYxJyE,105
58IDC72K0b4,313
59Sd6OKi14k,181
59hila13h0w,140
5CLwNnpNGxc,316
5DIZlmCFrKk,294
5E0yEm_f-nM,153
5E7R1jUElEg,35
5EZZyqKAXiM,82
5Ee77cFdhX4,31
5F-hacLVbjM,302
5F1f2_naE9Y,332
5FU6ljQgr9U,311
5GBthHX8XMs,177
5HHIKExIjaw,190
5JK--ay9z_U,244
5Jds183YhX8,107
5JiO-EFQ4do,475
5JjZvBmjKcA,58
5JpepqoyxSA,875
5JxELubSgJg,369
5KFe24GlfOk,75
5KI3Vcwdf6k,168
5L1iX5JiuwI,229
5L_zW9rOHvA,84
5MNLM9n3BnE,38
5Mu_inFM31o,107
5MvRvu-KgvA,74
5NKhP7UuI40,160
5O3fyVHdw50,296
5QUtJNbGgZs,301
5QXlb2H-aSA,132
5QlKLWz7ypM,185
5Tjr1wluB9A,175
5TqOjmcovxk,116
5U0vVRmcmnA,124
5WM8uzJDQgE,133
5WQkd8FCt4g,217
5X7AmngnMYA,89
5XY4vTscyHE,168
5YRG6fInP3E,124
5YYqEbk36yg,134
5Z6djzUiI6Y,171
5ZrIxIN99hI,92
5ZvX9v57MJw,178
5_8no_RFCjw,65
5_DHl4Kp77A,178
5a7qPNAnDVE,152
5akitpHXSsA,113
5asNEq8SYTg,105
5bIMzbE_168,183
5boq4j07irM,162
5c3_Mol2ueM,16
5cBtj-kwzz0,74
5eYJNf8Z-gw,10
5flZd0iCbtw,117
5g4xB4yjHSk,174
5gK0GBj6svo,150
5hrTwroxJqU,162
5iAVGIBGa9o,105
5iJwCkn8ySI,30
5i_7Ft7Um-k,197
5j85YMgduYM,51
5jF_YxAqzyc,233
5jUQ2Cn7HWc,195
5k9ElM6Makg,424
5kFph0XKhr0,97
5ktd1o6OWXo,274
5lKp-Aasaa4,17
5loLRuJiwug,93
5mO-ixa_sws,251
5pdueqvZV7U,118
5q9917wJpfA,30
5qvKCtsN1i8,187
5r4gmxflDKI,160
5rRg0ouA9R0,196
5rg-vwVy5go,213
5sItOWxoYdY,366
5sX0gWg1qm4,50
5sbNisrTEtI,131
5w6tS4pVEbY,150
5wble6-0CQg,143
5wwIwBsvJzI,140
5xLFbVbDhbQ,309
5xcQaur0BHs,255
5zi90O7XhZ4,192
5zku7VxyU2A,7
5ztlYXJSdyM,419
6-HOr_l-E6g,151
600RzTL3mXA,295
61m7Tn4T0K4,194
62xKLrQ83vs,255
63FljV78Qcw,187
63Pr_dQdQBw,62
63QTR5mynbo,245
63UMnjXmPs8,188
640X5e7HdC8,32
64l_NVj6e10,88
64zJEbTDHPE,417
65ADcQ2GCdE,124
65CI8hznDy4,239
65wj8IE8n6E,60
66Ed4ue5Ono,117
68UYBhIte3U,5
69ApiaG9p2o,95
69zDcgAFcLM,245
69zEl0eTv4Q,514
6ApMW9yr9hI,268
6AzwkqcUghc,216
6B0ivQZTp3c,256
6BquEw4kNNE,282
6DULur46WaU,55
