video_id,segment_total,vid_done,vid_pct,aud_done,aud_pct,both_done,both_pct
1lpD0MBmFzw,19,19,100.0,0,0.0,0,0.0
1lxoJyk3G4c,110,0,0.0,0,0.0,0,0.0
1m43Eu2ADWE,150,75,50.0,0,0.0,0,0.0
1mJqZ-ciAD0,84,0,0.0,0,0.0,0,0.0
1mV_2aYYBlA,132,0,0.0,0,0.0,0,0.0
1mh_Gktlg1I,162,162,100.0,0,0.0,0,0.0
1nxSQY6Vs30,89,0,0.0,0,0.0,0,0.0
1osZvX-5Aa0,64,64,100.0,0,0.0,0,0.0
1p8eIAVPuTs,220,220,100.0,0,0.0,0,0.0
1piYgZ03uwo,239,239,100.0,0,0.0,0,0.0
1q-cJoWBQdQ,18,18,100.0,0,0.0,0,0.0
1qmjr_NwP80,237,237,100.0,0,0.0,0,0.0
1r-Anrpzcwk,214,0,0.0,0,0.0,0,0.0
1rR4StUJKrE,35,0,0.0,0,0.0,0,0.0
1rVPIiWyqeI,259,0,0.0,0,0.0,0,0.0
1s6Hi_FU0R4,227,0,0.0,0,0.0,0,0.0
1sq_GJiGckM,594,0,0.0,0,0.0,0,0.0
1swA48BdolU,115,0,0.0,0,0.0,0,0.0
1tFzOOEJRLg,309,0,0.0,0,0.0,0,0.0
1tu-ghqRr68,281,131,46.62,0,0.0,0,0.0
1uAn7Xlc8I8,146,146,100.0,0,0.0,0,0.0
1ucYVmihfvY,262,0,0.0,0,0.0,0,0.0
1vzgiQsXixY,50,50,100.0,0,0.0,0,0.0
1vziIBWjYx0,83,43,51.81,0,0.0,0,0.0
1wRs-HELJng,72,0,0.0,0,0.0,0,0.0
1yAsejSQaGM,54,0,0.0,0,0.0,0,0.0
1yknkdjMzA0,546,0,0.0,0,0.0,0,0.0
1z2Dy3XKx48,150,0,0.0,0,0.0,0,0.0
2-A6ykI3OmM,656,324,49.39,0,0.0,0,0.0
202-XaS1ack,182,0,0.0,0,0.0,0,0.0
20kmn-WndYc,274,0,0.0,0,0.0,0,0.0
21V7RzAgXzo,257,0,0.0,0,0.0,0,0.0
22LjM_9hmmA,80,80,100.0,0,0.0,0,0.0
22z9jvY3lWY,212,0,0.0,0,0.0,0,0.0
