video_id,pt_count
332Ad4jUjoM,237
ULIgLMDickk,237
oPxa3qlhYRE,237
yJ02KB4CYgs,237
GOFTj9-Tv-w,236
MoHIC9gCFhE,236
QzGEotTYsCE,236
SnN7_rSbTF8,236
t8O3cGcmkl4,236
2vjVxj2nbto,235
cyKGeK2djjk,235
jedi1KqPSZc,235
lQ6JjNZsch8,235
ql2MR9NfZ2U,235
uXCR3fyATFE,235
yKHGUVK4kEk,235
2LGQQLR7AG0,234
FoV72Em4Qxo,234
Z6bdGxsBnGc,234
axzMVHUyFSM,234
pmUmnUy51iA,234
-M8qyok42xo,233
50HADVnzMMg,233
5jF_YxAqzyc,233
8NPfKdHE30o,233
L4b2f8wZT6g,233
OwignVX4loI,233
P-k3-VobsQE,233
0AP2UdOepa4,232
DHQ5stBzlS4,232
Pjd7U6FYaWM,232
ZZdiFir_kNU,232
a4zVqRsbIlg,232
ihEHbRfmsQ4,232
DPO7imV0LHg,231
fQ-8VXFBzG8,231
nwLnmgKfKiM,231
t6rUOgutYUQ,231
ABd4RZrhfak,230
aIAy0vn4fRo,230
bPdsN_YmP60,230
hHf_XROUCDQ,230
oyahLB1emyI,230
pFLivbJP34I,230
BfpaqJeE2eM,229
NlcpQ59FgFo,229
TdRdVQcADlI,229
bIifDx57WRU,229
8G1jTMK5a1E,228
SEI8SFoDvhQ,228
_Rlmr95Lz8A,228
kRhqvlFp5MM,228
s72yVDb2eUo,228
szhdlDbJFBg,228
tEDvyw2Drsk,228
tln9CTzQTic,228
ucBl5mNWwpE,228
vTdXwZGh-5g,228
x80L6g5AvzQ,228
3nyN9s2Uke0,227
IsFa_c0Wv-4,227
ZP6l94vClAo,227
lH1bemnt1eY,227
x-Admc1UXCc,227
gD4zCu79-3w,226
v6wxSg-tEdM,226
y8Up_MvobKY,226
8wDM4VXSgCs,225
H1BpS4mlsfk,225
HL8d2lBxqd0,225
WjY-iUI73yg,225
_xgSeZzbPDs,225
heOpM9pmO_8,225
mWXtf4b4xEk,225
H1Od6LKZ3ig,224
NMDQAng_YHI,224
VRwespR3ZK8,224
ZSCuKBv341w,224
ZvAA0eCL-bE,224
jCR9lQz3-rs,224
s5CVZHAjrW8,224
tSXxpWYv5ME,224
4t1ahxLur6c,223
GvX3iOxwZak,223
VPR_mpFcKtg,223
eyCEcfviIS4,223
g6jluQcENjc,223
8MZccR1he4s,222
DlSsSMfyaO8,222
Z9eNEjDySH4,222
d1-bnv0YWbc,222
itAh2SKp--8,222
s2rTZ_MTH6M,222
2CbfhMh9tnM,221
2Q1wiQw9bL8,221
4h9v0lbZVPM,221
MdFaK78nyj4,221
PTiAJNDD_D4,221
PwHFF3B9-t4,221
TrAwhy5AbA0,221
1p8eIAVPuTs,220
A5Eq1GDuAqA,220
IGe7ada7X3Q,220
XqM2F1JxX0c,220
ZojCw12Ze5U,220
ifX6jALKoIc,220
jnzQWcnp7Q0,220
l5_L6mvaDLU,220
sgqeA3ec9Ys,220
-a6fAA027Eg,219
HTtYX7YGu9U,219
IHhWORLFcHM,219
M336an3GCgs,219
P8ExkUxgYw0,219
W0QZhf7SHHI,219
aMh-K0327UQ,219
co4jxfmuSUM,219
iP2TcGgzHAo,219
ky_4Y1-Xyz4,219
mDLPansKeQU,219
07QQrAEOOSg,218
Adj5y0p9ruA,218
NtASULb90G0,218
krznHIAgwcY,218
w_U4GU3cZiI,218
2tBW45_qpjY,217
JuHLyl3gD7Y,217
KWqLjgz1aQs,217
VwxqkiK95-s,217
dMonTeSDIo0,217
i1hujSHltjo,217
l1WCyEWvBow,217
mz_cPUwD2MU,217
sjLvO-Zp2yU,217
wDKEhnuH-s0,217
xa-TkLiw6_4,217
2oWa7aNWKkg,216
2yEJwdy-Pfg,216
J-fdks5Zweo,216
MzCcuJ07J-4,216
Qcz0al6On5A,216
UQhY8zbqe1c,216
ZVv40yXgJpo,216
o_Wn56lIzrA,216
wbNxiLaY6I0,216
2KFh547iVNs,215
5M_U6liqeU0,215
DAIOrcNGN7Q,215
RD5de1vYiSg,215
0AMC7Xr3sZ4,214
EupZWcYt4Jk,214
db6D7sl5Ap8,214
ysnS2KKRkGQ,214
2TSLH-aONdo,213
5rg-vwVy5go,213
77GVaVXp5M4,213
83f47jIS_D8,213
HqyUNN9792s,213
Ql_Meyfx1TI,213
UE_LyCRXSGY,213
dRESxcAMkXY,213
jjLyVeu6pVk,213
pOrJhGsaqJA,213
zFXoBWYN_eo,213
2D8QKeYo0do,212
CM-z23eSCiM,212
EJAatjnF4Ok,212
EXv2pzC6lGs,212
Jgt6ytFHeZ4,212
LFMPQQ2ffrE,212
MVPoXlXwrgQ,212
Oz4OIOzr4S4,212
RpFsZszqlNQ,212
ZTKCuM01dCA,212
hnrdkynCDZE,212
pEyECGSkQqc,212
-YmhjI_OhMg,211
CEOdTEQY8JU,211
DtBA5F7zRyg,211
HiCHSiAUALo,211
M-g6OZBO6T4,211
MXDrggddwh8,211
MtuJBMqVvuY,211
QAh9yxqiPCg,211
SstTpmYNCeE,211
iM_Z9hQk0iI,211
m5fX7uSjb6w,211
qxyzZfWAXUM,211
tK17G9YvDlk,211
H_9nq2kJ2po,210
HnA5HjMiWpA,210
XFkglYw8FbU,210
_5r97Y3bsmw,210
fUMYkJbz0G4,210
-Thqk4HmXr4,209
10zauifjLsA,209
EQgplg8pyi0,209
V2Hg9QgAQC0,209
aDhy3gYfQXw,209
fXcGpUem5Qs,209
nSkKGWMeymw,209
o9ZetIs5oIY,209
xfJd-C9Hr5A,209
0Odf4wJEoAU,208
7X3xBp9Mu44,208
CWAmS794bh0,208
H2QIvASSgKQ,208
IqQzf8k-VvQ,208
T9m9m7k092o,208
WYYkjKIuCLU,208
ZCV5TYrda_I,208
kbKJmhuxN8s,208
2yjfhqg310o,207
38G32qNpgys,207
8mb6AGWow8o,207
8pPYC_cc9DY,207
C8SdC76QyP8,207
HNGiYeuX_So,207
RlNi_2_b-7w,207
WAItdOB3hmE,207
X0F7EsJgDGg,207
eaGmwmah-OQ,207
qHIpTqkZC0c,207
xQJbt--k0YQ,207
3X8ALiaAkbY,206
49AK3O9s8ok,206
GZTX-kxff0c,206
KWuNJDjJ48A,206
Kbk1QyS0B_0,206
WRYkQLOjIww,206
XKcaY7QH_Qk,206
aC505eQqeIc,206
c8JPlLp6oM0,206
g6yVJbDV2SY,206
jfyfdThTZ88,206
vZcf7UIJcSI,206
x87IksPsYlc,206
4pVyeLPWjgY,205
ajXKu1bokQA,205
cedY8gyTRx0,205
gXrIFLczRTo,205
lPRWHoExvMc,205
uY8LvXs5VZw,205
5-dL7uqZlpg,204
9olb6OvXjKg,204
B58ZrSNPxGw,204
FtQPmmmeWbM,204
H9R0Udf4I_c,204
JrHo9pxkQRg,204
Q5alRhAae64,204
UqhNyP4AL2A,204
_XXd0TjXNMc,204
j6o3n35EGwo,204
jkVtuwtxO_I,204
jpMTVwbZJok,204
EUT6GC_mlPc,203
Obtk8eWwTb4,203
Su2EXHFOb0E,203
VnsrIyobn_Y,203
_oYGyAw1UsA,203
pO4rlSNkScA,203
4m9C10Rlmyo,202
9xItfB2WQoU,202
IjWNmWPDJoo,202
f4nf8Dv-Xxw,202
lptYkKQnBW0,202
oj8I74pAQBE,202
0aQNh-CejyE,201
CL_7mankEp8,201
D86hBw5uT0A,201
KtZp-jWoHQY,201
Ov0a5dETrgE,201
TXaowYnxR_U,201
etrKt1SyaRc,201
f_00EtwCtsA,201
qL1-lYRQuRM,201
x7HZGb0ssgQ,201
FZDLFIA3yRk,200
Gbs7Z7TY8mg,200
hxP4fu9TMgQ,200
14966mT7J6g,199
1fWAzA_Lp_g,199
8GDkOf1XwBs,199
UgUAzuoyHV0,199
dfICQQa5rVo,199
v4G_b11Gvwg,199
wanFJvKJY1I,199
1kVMsaCTgBY,198
5HCngGBzJAg,198
MeyePX5x2Pw,198
UaRAtW6_Rx4,198
W_Q_2H1NUmc,198
_uhpkM2zea0,198
eK2c0DsP3Qc,198
k0pPhL1C5LE,198
on-xch14Sfg,198
y5lqVa6-C-A,198
1i7fiaevKE8,197
4aOEmORG1L0,197
Ae2_u6K0tzA,197
GoM-64EkchU,197
K6VmyFbDWlk,197
LViEk8PFfG8,197
MxrP-K_HVZU,197
RytqrIuw2mk,197
kgwzD9_O2v8,197
kqAHOhB4hD0,197
wrAWUUNd74w,197
0zLIgpajw30,196
LD6rVGKpazw,196
Sy3-eMF7Xp0,196
bJKEqtqn0A0,196
bvrSIJi6cQQ,196
e8TrWUfhTSs,196
faWjdDcatYw,196
i3uG_uMMirQ,196
kqPxitM9TBo,196
mOWwgzZdWZE,196
p9jf5ou1GaA,196
vtwjGIWcYRE,196
-m7_s7J4OPw,195
IePNTOSdeW4,195
PMVhsSSLz1Q,195
QaPvVis4YhE,195
V8NiuewNIk4,195
Vv_w057AsGs,195
YNGKSraBBHc,195
_B9TeP5JLNI,195
eI1aEYrYG0Q,195
k4vkOEdefWo,195
piHWQiw_1MM,195
slImFblL5lY,195
zG5cFO3mXD4,195
3GSPnSijas0,194
4ePhjGHP6l8,194
61m7Tn4T0K4,194
6md4Z1_s5Ik,194
B2ULWkTZjhM,194
